Version,PC-1,PC-2,PC-3,PC-4,PC-5,PC-6
V1,13712.461,596.2563,584.39087,579.1628,576.75665,573.17584
V2,13712.461,596.25616,584.3912,579.16296,576.75665,573.176
V3,13387.038,599.4984,594.1662,590.0785,576.50244,573.98517
V4,20856.01,825.6985,819.2583,804.5649,800.9733,798.24316
V5,24819.297,938.0348,925.392,913.1508,905.48883,900.66125
V6,9443.014,685.16156,677.69135,671.60284,663.85144,659.8492
V7,13475.729,1123.6616,794.4985,788.6179,781.3139,769.32086
V8,20989.342,929.69257,900.2418,889.0907,886.29614,885.1375
V9,22203.98,912.7763,905.3341,901.5804,888.46875,877.0388
V10,9765.458,512.4439,500.9441,496.33847,493.27628,490.8571
V11,13476.698,1281.7275,735.61536,728.6412,725.7412,718.0372
V12,18913.906,1119.0737,833.29663,819.58075,816.5799,808.3117
V13,23377.914,1025.0247,956.32916,937.1746,931.47473,912.41425
V14,24004.094,892.2609,868.31525,862.57184,857.22345,848.8872
V15,24883.83,922.0529,889.65295,882.16473,876.85187,868.3294
V16,5129.1826,461.56265,454.4954,449.2761,442.18127,438.75122
V17,9589.855,1529.7396,742.20074,738.2906,727.76044,719.91907
V18,9442.813,440.9712,437.813,432.6657,427.6288,424.5107
V19,19034.143,781.7686,769.2547,763.761,759.35156,755.0378
V20,13712.459,596.25665,584.3906,579.1626,576.7568,573.17615
